record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
ext_00148,external,loudoun_lola,CyrusOne NVA14,VA,,,no,Approved,2024-05-02,day,2026-08-18,censored_asof,838,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00149,external,loudoun_lola,Leesburg (IAD01-02-03-94-05) Data Center,VA,,,no,Approved,2024-06-26,day,2026-08-18,censored_asof,783,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00150,external,loudoun_lola,Approved Site Plan (EPLAN-2023-0045),VA,,,no,Approved,2025-04-25,day,2026-08-18,censored_asof,480,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00151,external,loudoun_lola,APPLICATION FOR A MINOR NSR PERMIT TO CONSTRUCT,VA,,,no,Approved,2025-06-19,day,2026-08-18,censored_asof,425,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00152,external,loudoun_lola,"Digital Western Lands, LLC (IAD44) Data Center",VA,,,no,Submitted - Online,2025-11-24,day,2026-08-18,censored_asof,267,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00153,external,loudoun_lola,Relocation Drive Data Center,VA,,,no,Approved,2026-04-14,day,2026-08-18,censored_asof,126,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00154,external,loudoun_lola,Wade Drive,VA,,,no,Approved,2026-08-10,day,2026-08-18,censored_asof,8,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00155,external,loudoun_lola,"Amazon Data Services, Inc.",VA,,,no,In Review,2023-08-28,day,2026-08-18,censored_asof,1086,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00156,external,loudoun_lola,Vantage Data Centers VA16,VA,,,no,Approved,2023-12-08,day,2026-08-18,censored_asof,984,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00157,external,loudoun_lola,INTERGATE ASHBURN DATA CENTER BLDNG A,VA,,,no,Approved,2023-12-11,day,2026-08-18,censored_asof,981,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00158,external,loudoun_lola,MANEKIN PLAZA,VA,,,no,In Review,2024-01-29,day,2026-08-18,censored_asof,932,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00159,external,loudoun_lola,Pacific Corporate Park,VA,,,no,Approved,2024-02-05,day,2026-08-18,censored_asof,925,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00160,external,loudoun_lola,IAD12 & IAD13 DATA CENTER,VA,,,no,Approved,2024-02-21,day,2026-08-18,censored_asof,909,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00161,external,loudoun_lola,Vantage Data Centers VA16,VA,,,no,Approved,2024-02-23,day,2026-08-18,censored_asof,907,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00162,external,loudoun_lola,Ashburn East Phase 1 & 2,VA,,,no,Approved,2024-03-14,day,2026-08-18,censored_asof,887,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00163,external,loudoun_lola,Lot 1A1 1501 Moran Road Development Owner LLC,VA,,,no,Approved,2024-04-10,day,2026-08-18,censored_asof,860,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00164,external,loudoun_lola,BRAMBLETON BUSINESS CAMPUS DATA CENTER,VA,,,no,Approved,2024-05-01,day,2026-08-18,censored_asof,839,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00165,external,loudoun_lola,Allegro North Campus - Building 2A,VA,,,no,In Review,2024-06-20,day,2026-08-18,censored_asof,789,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00166,external,loudoun_lola,TUSCARORA CROSSING LANDBAY 7,VA,,,no,Approved,2024-06-28,day,2026-08-18,censored_asof,781,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00167,external,loudoun_lola,PROJECT NOVA SOUTHEAST SITE PLAN,VA,,,no,In Review,2024-07-16,day,2026-08-18,censored_asof,763,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00168,external,loudoun_lola,Allegro North Campus - Building 2A,VA,,,no,In Review,2024-08-26,day,2026-08-18,censored_asof,722,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
