fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
05031,"Craighead County, Arkansas",57615,112097,707.162,158.52,27.77,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05033,"Crawford County, Arkansas",60362,60792,595.269,102.13,19.3,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05035,"Crittenden County, Arkansas",54271,47609,612.865,77.68,17.2,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05037,"Cross County, Arkansas",47012,16681,616.318,27.07,14.83,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05039,"Dallas County, Arkansas",44694,6351,667.323,9.52,11.13,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05041,"Desha County, Arkansas",36064,11041,741.227,14.9,13.03,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05043,"Drew County, Arkansas",41071,17143,828.667,20.69,23.33,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05045,"Faulkner County, Arkansas",65071,126001,647.243,194.67,33.2,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05047,"Franklin County, Arkansas",51919,17220,608.967,28.28,13.16,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05049,"Fulton County, Arkansas",38941,12239,617.994,19.8,15.72,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05051,"Garland County, Arkansas",55409,100062,677.615,147.67,26.25,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05053,"Grant County, Arkansas",72512,18111,631.888,28.66,20.93,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05055,"Greene County, Arkansas",56793,46182,577.34,79.99,16.49,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05057,"Hempstead County, Arkansas",47654,19778,727.2,27.2,14.6,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05059,"Hot Spring County, Arkansas",52644,33142,614.944,53.89,15.78,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05061,"Howard County, Arkansas",44492,12701,587.332,21.62,16.68,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05063,"Independence County, Arkansas",56009,38120,763.712,49.91,16.87,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05065,"Izard County, Arkansas",47728,13866,580.201,23.9,18.71,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05067,"Jackson County, Arkansas",41215,16775,633.611,26.48,13.26,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05069,"Jefferson County, Arkansas",48552,65780,872.346,75.41,20.64,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05071,"Johnson County, Arkansas",44808,25932,660.99,39.23,18.08,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05073,"Lafayette County, Arkansas",37237,6211,529.472,11.73,9.21,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
