state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
KS,Kingman County,moratorium,active,1,active,2026-02-09,"moratorium-nation:ks-kingman-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-02-09,1,joined,covered_unconfirmed,agree,0
KS,Marion County,moratorium,active,1,active,2026-03-02,"moratorium-nation:ks-marion-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03-02,1,joined,covered_unconfirmed,agree,0
KS,McPherson County,moratorium,extended,1,extended,2025-08-04,"moratorium-nation:ks-mcpherson-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-08-04,1,joined,covered_unconfirmed,agree,0
KS,Riley County,moratorium,active,1,active,2026-04-13,"moratorium-nation:ks-riley-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-05,1,joined,covered_unconfirmed,agree,0
KS,Saline County,moratorium,active,1,active,2026-03-17,"moratorium-nation:ks-saline-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-03-18,1,joined,covered_confirmed,agree,0
KS,Sedgwick County,moratorium,extended,1,extended,2026-01-14,"moratorium-nation:ks-sedgwick-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-01-15,1,joined,covered_unconfirmed,agree,0
KY,Breckinridge County,moratorium,active,1,active,2025-12-05,"moratorium-nation:ky-breckinridge-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-17,1,joined,covered_unconfirmed,agree,0
KY,Meade County,moratorium,active,1,active,2026-01-13,"moratorium-nation:ky-meade-county-fiscal-court-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-01-13,1,joined,covered_confirmed,agree,0
KY,Oldham County,moratorium,extended,1,extended,2025-06-26,"moratorium-nation:ky-oldham-county-fiscal-court-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-07-01,1,joined,covered_confirmed,agree,0
MD,Baltimore County,moratorium,active,1,active,2026-02-02,"moratorium-nation:md-baltimore-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-02-02,1,joined,covered_unconfirmed,agree,0
