fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
39173,0.2712,0.29,10,1
39175,0.066,0.0627,6,0
40001,0.0471,0.0425,4,0
40003,0.0317,0.0253,1,0
40005,0.0389,0.0346,2,0
40007,0.0302,0.0267,1,0
40009,0.0479,0.0442,4,0
40011,0.0345,0.0303,2,0
40013,0.094,0.0891,7,0
40015,0.0501,0.045,4,0
40017,0.1484,0.1487,9,1
40019,0.0757,0.0729,6,0
40021,0.0905,0.0861,7,0
40023,0.0418,0.0381,3,0
40025,0.0251,0.0215,1,0
40027,0.2079,0.2119,9,0
40029,0.0304,0.0269,2,0
40031,0.1134,0.1133,8,1
40033,0.0336,0.0301,2,0
40035,0.0427,0.0395,3,0
40037,0.0857,0.0812,7,0
40039,0.0772,0.0741,7,0
40041,0.071,0.0662,6,0
40043,0.0266,0.0206,1,0
40045,0.0263,0.0221,1,0
40047,0.0847,0.0824,7,0
40049,0.0571,0.0523,5,0
40051,0.08,0.074,6,0
40053,0.0281,0.0243,1,0
40055,0.0284,0.0256,1,0
40057,0.0224,0.0192,1,0
40059,0.0278,0.0244,1,0
40061,0.0397,0.0329,2,0
40063,0.0406,0.0369,3,0
40065,0.0624,0.0576,5,0
40067,0.028,0.0242,1,0
40069,0.0436,0.0386,3,0
40071,0.0704,0.0657,6,0
40073,0.0474,0.0403,3,0
40075,0.0324,0.0259,1,0
40077,0.032,0.028,2,0
40079,0.0639,0.0605,5,0
40081,0.0579,0.0509,5,0
40083,0.0957,0.0932,7,0
40085,0.0401,0.0357,3,0
40087,0.0905,0.0853,7,0
40089,0.0513,0.0477,4,0
40091,0.0473,0.0423,4,0
40093,0.0336,0.0289,2,0
40095,0.0493,0.0422,4,0
40097,0.0669,0.0637,6,0
40099,0.0477,0.0426,4,0
40101,0.0963,0.0924,7,0
40103,0.0429,0.0397,3,0
40105,0.0391,0.0342,2,0
40107,0.0372,0.0305,2,0
40109,0.3146,0.3271,10,1
40111,0.0656,0.0608,6,0
40113,0.0644,0.0611,6,0
40115,0.0624,0.0574,5,0
40117,0.0476,0.043,4,0
40119,0.1375,0.1397,8,0
