opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_237,Project Gold,PA,pending,no,1500.0,0.0279,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0357,margin,state+tercile+caliper,in_state
prj_238,East Whiteland Township Data Center,PA,pending,no,,0.1446,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0854,margin,state+tercile+caliper,in_state
prj_238,East Whiteland Township Data Center,PA,pending,no,,0.1446,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0854,margin,state+tercile+caliper,in_state
prj_238,East Whiteland Township Data Center,PA,pending,no,,0.1446,3,prj_244,Springdale AI Data Center Redevelopment,proposals_unopposed,PA,180.0,0.2031,0.0585,margin,state+caliper,in_state
prj_240,AWS Keystone Trade Center Campus,PA,pending,no,,-0.0007,1,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0071,margin,state+tercile+caliper,in_state
prj_240,AWS Keystone Trade Center Campus,PA,pending,no,,-0.0007,2,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0599,margin,state+tercile+caliper,in_state
prj_240,AWS Keystone Trade Center Campus,PA,pending,no,,-0.0007,3,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0599,margin,state+tercile+caliper,in_state
prj_241,CoreWeave Lancaster AI Campuses,PA,advanced_confirmed,yes,300.0,-0.1595,1,prj_308,Cumru Titus Data Center,proposals_unopposed,PA,200.0,-0.1218,0.1069,margin+log_mw,state+tercile+caliper,in_state
prj_241,CoreWeave Lancaster AI Campuses,PA,advanced_confirmed,yes,300.0,-0.1595,2,prj_38,Pittsboro Middle Township Data Center,proposals_unopposed,IN,,-0.2150,1.5555,margin,national+caliper,national_fallback
prj_241,CoreWeave Lancaster AI Campuses,PA,advanced_confirmed,yes,300.0,-0.1595,3,prj_149,Brookhaven National Laboratory Data Center,proposals_unopposed,NY,,-0.0997,1.5598,margin,national+caliper,national_fallback
prj_243,PAX – Pennsylvania Digital I,PA,advanced_confirmed,yes,1350.0,-0.0944,1,prj_308,Cumru Titus Data Center,proposals_unopposed,PA,200.0,-0.1218,0.4284,margin+log_mw,state+tercile+caliper,in_state
prj_243,PAX – Pennsylvania Digital I,PA,advanced_confirmed,yes,1350.0,-0.0944,2,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0866,margin,state+caliper,in_state
prj_243,PAX – Pennsylvania Digital I,PA,advanced_confirmed,yes,1350.0,-0.0944,3,prj_149,Brookhaven National Laboratory Data Center,proposals_unopposed,NY,,-0.0997,1.5053,margin,national+caliper,national_fallback
prj_247,Hollenback Township Data Center Development Zoning Application,PA,pending,no,,-0.1917,1,prj_308,Cumru Titus Data Center,proposals_unopposed,PA,200.0,-0.1218,0.0699,margin,state+tercile+caliper,in_state
prj_247,Hollenback Township Data Center Development Zoning Application,PA,pending,no,,-0.1917,2,prj_302,TECfusions “Keystone Connect” AI Campus,proposals_unopposed,PA,336.0,-0.2842,0.0925,margin,state+tercile+caliper,in_state
prj_247,Hollenback Township Data Center Development Zoning Application,PA,pending,no,,-0.1917,3,prj_143,Massena Petawatt Data Center Site Advertisement,proposals_unopposed,NY,200.0,-0.1800,1.5117,margin,national+caliper,national_fallback
prj_251,Archbald I LLC Data Center Campuses,PA,blocked_confirmed,yes,,0.0279,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_251,Archbald I LLC Data Center Campuses,PA,blocked_confirmed,yes,,0.0279,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_251,Archbald I LLC Data Center Campuses,PA,blocked_confirmed,yes,,0.0279,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0357,margin,state+tercile+caliper,in_state
