source,as_of,name,state,announced_date,county,capacity_mw,decision_date,status,source_url,operator
loudoun_lola,2026-08-18,TUSCARORA CROSSING LAND BAY 3 (STPL-2020-0046),VA,2024-08-09,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TUSCARORA CROSSING LAND BAY 3 (STPL-2020-0046),VA,2024-08-09,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Brambleton Shreveport South Data Center,VA,2025-06-10,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Brambleton Shreveport South Data Center,VA,2025-06-10,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,RIDGETOP CENTER,VA,2026-08-07,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,RIDGETOP CENTER,VA,2026-08-07,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,MANEKIN PLAZA,VA,2026-08-07,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,MANEKIN PLAZA,VA,2026-08-07,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,VWPP Belmont Innovation,VA,2023-10-10,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Vantage Data Center VA3,VA,2023-11-03,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,EPLAN-2023-0132,VA,2024-02-16,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,CyrusOne NVA14,VA,2024-05-02,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Leesburg (IAD01-02-03-94-05) Data Center,VA,2024-06-26,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Approved Site Plan (EPLAN-2023-0045),VA,2025-04-25,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
